Model time;nNonBTLHomeless;nBTLHomeless;nHomeless;nRenting;nNonOwner;nNonBTLOwnerOccupier;nBTLOwnerOccupier;nOwnerOccupier;nActiveBTL;nBTL;nNonBTLBankrupt;nBTLBankrupt;TotalPopulation;HousingStock;nEmptyHouses;BTLStockFraction;Sale HPI;Sale AnnualHPA;Sale AvBidPrice;Sale AvOfferPrice;Sale AvSalePrice;Sale AvMonthsOnMarket;Sale nBuyers;Sale nBTLBuyers;Sale nSellers;Sale nNewSellers;Sale nBTLSellers;Sale nSales;Sale nNonBTLBidsAboveExpAvSalePrice;Sale nBTLBidsAboveExpAvSalePrice;Sale nSalesToBTL;Sale nSalesToFTB;Rental HPI;Rental AnnualHPA;Rental AvBidPrice;Rental AvOfferPrice;Rental AvSalePrice;Rental AvMonthsOnMarket;Rental nBuyers;Rental nSellers;Rental nSales;Rental ExpAvFlowYield;nStockMortgages;nNewFTBMortgages;nNewFTBMortgagesToBTL;nNewHMMortgages;nNewBTLMortgages;newFTBCredit;newHMCredit;newBTLCredit;newTotalCredit;creditStock;interestRate;nonHousingConsumption;rentalCashOutflow;downpaymentCashOutflow;mortgagePrincipalPayment;mortgageInterestPayment;totalFinancialWealth;totalHousingNetWealth;totalHousingGrossWealth
0;1583.75;220.75;1804.5;1544.625;3349.125;5491;591.875;6082.875;567;1379.625;0;0;9999;8555;360.5;0.22268749999999998;0.9978124999999999;-0.00072285625;205380.35874999998;232359.04249999998;199444.50125;0;1671.125;516.625;2441.75;2441.75;3;1235.625;2381.25;456.375;321.375;914.25;1.021025;0.007012075;609.65125;705.0849999999999;529.07625;0;3096.125;1905.125;1544.625;0.047700000000000006;822.25;560.25;289.25;0;262;61156241.0725;0;43286238.85625;104442479.93125;104442479.93125;0.035;23365512.7225;0;142113135.38500002;0;0;709374502.6374999;1797971084.6175;1902413564.54875
1;1587.5;218.375;1805.875;1520;3325.875;5515.875;594.5;6110.375;567.25;1380.125;0;1.375;10003.5;8556;358.375;0.21953749999999997;0.9725250000000001;-0.0098770625;27105.0625;264119.00250000006;129941.62125000001;0.8037875000000001;464.125;195.25;1236.25;31.25;2;41.75;751.125;172.5;3.25;31.375;0.9848625000000001;0.001968675;609.9712499999999;1427.7400000000002;542.535;0.1805875;1549.625;372;13.625;0.045774999999999996;832.75;9.875;2.375;0.25;0.875;370571.78;4726.31625;31989.461250000004;407287.55875;104556708.8875;0.170677;23385519.3225;814421.01;5014828.670000001;252676.42999999996;304521.5349999999;710041587.1787498;1772753610.6750002;1877310319.5637503
2;1590.125;217.125;1807.25;1483.75;3291;5550.875;596.25;6147.125;568.125;1381.5;0;1.375;10006.25;8556;357;0.21514999999999998;0.9739374999999999;-0.0185657875;32337.364999999998;266630.63375;130342.75375;1.6128375000000001;483.75;194.125;1223.75;31.375;2.125;55;773.375;300.875;2.625;47.875;0.9773000000000001;-0.005593374999999999;607.9262500000001;1422.6237499999997;558.6225000000001;0.35395000000000004;1530.75;369.5;12.5;0.0440875;868.375;34.375;2.625;0.75;1.5;2097210.0875;43616.011249999996;167034.335;2307860.4350000005;106563803.81625;0.051082999999999996;23715754.378750004;805815.7712500001;4867044.59;253451.12500000003;309449.06875;712269905.7712499;1758432765.0287502;1864996568.84625
3;1591.625;215.25;1806.875;1470.5;3277.375;5564.25;597.5;6161.75;569.25;1382;0.125;1.25;10008.375;8556;354.5;0.213275;0.9633499999999999;-0.030057124999999994;26197.075;270718.92500000005;124182.7;2.0362;454.625;192.75;1202.625;35.375;3.5;33.125;751;330.75;1.75;25.75;0.951025;-0.0289336625;604.7774999999999;1418.40875;575.335;0.7543625;1558.75;366.875;12.375;0.042600000000000006;888;19.125;2.125;0.5;0.75;1073445.05875;52207.45375;71476.44125;1197128.9537499999;107485919.50249997;0.053609625;23995917.134999998;793601.9312500001;2964179.11375;258583.34000000003;318457.59249999997;713319106;1742244259.78375;1849730179.2887502
4;1587.625;214.75;1802.375;1462.375;3264.75;5574.5;597.5;6172;569.5;1381.75;0.125;1.375;10006.25;8556;352.125;0.21208749999999998;0.9521625;-0.0368461375;23756.261250000003;271881.03875;121701.00875;2.57215;445.75;191.75;1201.875;33.625;4.75;27.25;744.5;416.375;1.875;19.625;0.9524625;-0.039730875;603.0425;1405.52625;562.9525;0.8183499999999999;1564;367.375;15.25;0.0413;902.375;13.75;1.875;0.5;1.5;676861.56125;17036.115;130440.22374999998;824337.8987499999;107940572.32625;0.05213375;24209818.306250002;789755.1475;2454196.625;261103.7175;322718.16374999995;713388099.19625;1723514619.9137502;1831455192.23875
5;1587.5;213.75;1801.25;1459.375;3260.625;5579.125;596.75;6175.875;570.125;1380.625;0.125;1.375;10006.625;8556;350.625;0.2115375;0.921925;-0.05418075;23140.8475;272536.40625;126890.73374999998;2.80135;439;189.875;1209;35.5;5.125;22;740.625;475.5;1.25;14.75;0.9568249999999999;-0.04655625;602.09875;1401.0425;535.8062500000001;0.7774125;1566.375;364.375;13.75;0.0403125;912.25;9.875;1.25;0.75;0.5;605455.39625;46595.89125;64878.52375;716929.81125;108359191.6425;0.051644499999999996;24366061.42375;789253.315;2088763.6312499999;262136.30625;325387.68;713217239.2650001;1686276675.54375;1794635867.185
6;1587.75;212.75;1800.5;1457.75;3258.25;5582;597.875;6179.875;570;1380.625;0.25;1.375;10008.125;8556;348.375;0.2110875;0.9189375000000001;-0.06898737499999999;21666.052499999998;272423.54375;128350.32375;2.850575;433.375;188.875;1221.625;36.375;6.125;19.75;746.25;530.125;1;12.625;0.927875;-0.0542707875;601.6724999999999;1396.3925;582.31375;1.4758750000000003;1571.875;361.875;13.5;0.039387500000000006;920.375;8.375;1.625;0.625;0.5;449684.00125;44491.88375;73189.025;567364.90875;108592698.72125;0.05158374999999999;24475592.8525;788233.1162500001;1951619.86125;263333.2575;327455.58625;712892037.2125001;1664351148.5825;1772943847.3025
7;1587.125;211.25;1798.375;1459.5;3257.875;5582;599.625;6181.625;569.25;1380.125;0.25;1.375;10008.75;8556;345.625;0.21096250000000003;0.903375;-0.08525325;21887.02625;272102.865;129603.39124999999;2.791325;429.25;188.25;1236.625;36.5;7.125;18.875;749.375;565.5;0.875;12.875;0.9124625;-0.06760923749999999;601.1137499999999;1383.8687499999999;579.61;1.7316125;1575.125;361.875;16.25;0.0386;928;7;1.75;1;0.625;388535.09874999995;59932.58375;73567.10500000001;522034.78750000003;108797739.15374999;0.051443499999999996;24558378.142500002;789184.74875;1942030.0162499996;264031.96625;328966.29;712882203.5612501;1638927480.74625;1747725219.9025004
8;1584.625;210.875;1795.5;1462.375;3257.875;5580.125;599.625;6179.75;569.75;1380.25;0.375;1.375;10007.375;8556;344.125;0.21113750000000003;0.8852;-0.09749725000000001;20386.326250000006;272067.73624999996;131715.87625;3.7299875000000005;422.625;187.125;1248.75;33.625;7.625;13.25;749;592.375;0.75;7;0.912525;-0.082377625;600.7549999999999;1380.87;580.4275;1.6883000000000001;1576.5;359.75;15.625;0.0379375;932.875;5.25;1.625;0.125;0.375;362224.3525;1450.875;21838.7575;385513.9849999999;108878225.48;0.051423250000000004;24605494.06375;791037.90875;1347901.8749999998;265272.63625;330254.94999999995;712533677.9537501;1609179335.0749998;1718057560.5549998
9;1582.875;210.25;1793.125;1465.375;3258.5;5578.75;599.75;6178.5;569.5;1379.5;0.5;1.25;10006.5;8556;342.625;0.21130000000000002;0.8699874999999999;-0.113812;19931.3625;270953.31499999994;125358.315;3.116;419.5;186.875;1272.125;38.25;8.75;15.25;755.875;614.875;1;9.75;0.8760749999999999;-0.09964574999999999;600.3925;1373.8175;595.80875;1.9097874999999997;1577.5;359;16.375;0.037325000000000004;938.25;5.75;1.75;0.25;0.5;346203.86625;11571.026249999999;48310.675;406085.56499999994;108934597.20875001;0.051321624999999996;24629806.19625;793217.7324999999;1513156.6975;265567.73250000004;330890.9225;712299382.575;1580069277.3374996;1689003874.5450003
