Model time;nNonBTLHomeless;nBTLHomeless;nHomeless;nRenting;nNonOwner;nNonBTLOwnerOccupier;nBTLOwnerOccupier;nOwnerOccupier;nActiveBTL;nBTL;nNonBTLBankrupt;nBTLBankrupt;TotalPopulation;HousingStock;nEmptyHouses;BTLStockFraction;Sale HPI;Sale AnnualHPA;Sale AvBidPrice;Sale AvOfferPrice;Sale AvSalePrice;Sale AvMonthsOnMarket;Sale nBuyers;Sale nBTLBuyers;Sale nSellers;Sale nNewSellers;Sale nBTLSellers;Sale nSales;Sale nNonBTLBidsAboveExpAvSalePrice;Sale nBTLBidsAboveExpAvSalePrice;Sale nSalesToBTL;Sale nSalesToFTB;Rental HPI;Rental AnnualHPA;Rental AvBidPrice;Rental AvOfferPrice;Rental AvSalePrice;Rental AvMonthsOnMarket;Rental nBuyers;Rental nSellers;Rental nSales;Rental ExpAvFlowYield;nStockMortgages;nNewFTBMortgages;nNewFTBMortgagesToBTL;nNewHMMortgages;nNewBTLMortgages;newFTBCredit;newHMCredit;newBTLCredit;newTotalCredit;creditStock;interestRate;nonHousingConsumption;rentalCashOutflow;downpaymentCashOutflow;mortgagePrincipalPayment;mortgageInterestPayment;totalFinancialWealth;totalHousingNetWealth;totalHousingGrossWealth
0;1583.75;220.75;1804.5;1544.625;3349.125;5491;591.875;6082.875;567;1379.625;0;0;9999;8555;360.5;0.22268749999999998;0.9978124999999999;-0.00072285625;205380.35874999998;232359.04249999998;199444.50125;0;1671.125;516.625;2441.75;2441.75;3;1235.625;2381.25;456.375;321.375;914.25;1.021025;0.007012075;609.65125;705.0849999999999;529.07625;0;3096.125;1905.125;1544.625;0.047700000000000006;822.25;560.25;289.25;0;262;61156241.0725;0;43286238.85625;104442479.93125;104442479.93125;0.035;23365512.7225;0;142113135.38500002;0;0;709374502.6374999;1797971084.6175;1902413564.54875
1;1587.5;218.375;1805.875;1520;3325.875;5515.875;594.5;6110.375;567.25;1380.125;0;1.375;10003.5;8556;358.375;0.21953749999999997;0.9725250000000001;-0.0098770625;27105.0625;264119.00250000006;129941.62125000001;0.8037875000000001;464.125;195.25;1236.25;31.25;2;41.75;751.125;172.5;3.25;31.375;0.9848625000000001;0.001968675;609.9712499999999;1427.7400000000002;542.535;0.1805875;1549.625;372;13.625;0.045774999999999996;832.75;9.875;2.375;0.25;0.875;370571.78;4726.31625;31989.461250000004;407287.55875;104556708.8875;0.170677;23385519.3225;814421.01;5014828.670000001;252676.42999999996;304521.5349999999;710041587.1787498;1772753610.6750002;1877310319.5637503
2;1589.75;216.875;1806.625;1492.875;3299.5;5542.125;596.875;6139;567.75;1381.5;0;1.375;10006.25;8556;356.375;0.21614999999999998;0.9711875;-0.019480625;28484.962499999994;266452.68750000006;127035.75125;1.5320625;471;194.5;1227.5;35.125;2.375;46.75;775.375;223;2.375;39.25;0.9756749999999998;-0.00613895375;608.20375;1422.26125;570.50625;0.40025;1543.875;369.625;13.25;0.0440875;860.375;26.875;2.875;0.875;0.875;1471292.98;66397.04125;60854.28625;1598544.3075000003;105870229.75625;0.061083;23715754.378750004;805815.7712500001;4358449.64375;253451.12500000003;309449.06875;711576331.7112501;1756678175.4487503;1862548405.205
3;1588.5;215.625;1804.125;1482.5;3286.625;5553.5;597.125;6150.625;568.375;1381.125;0.125;1.375;10005.625;8556;354.5;0.2147;0.9635874999999999;-0.030897375;23891.204999999998;269347.46499999997;122315.1175;1.858825;450.875;192.5;1215;35.375;3.125;30.5;756.125;253.375;1.375;24;0.9659375;-0.024503624999999998;605.9350000000001;1414.97125;557.2975;0.634575;1561.125;368.375;13.875;0.04265;876.75;16.625;1.75;0.875;0.5;897646.80875;52376.75125;34782.3675;984805.9262499999;106529676.94999999;0.06266662499999999;24000276.212500002;796996.6487499999;2768326.85625;256176.8;316735.3025;712523120.34;1742200343.68;1848730020.63125
4;1587;215;1802;1475.875;3277.875;5561.625;597.875;6159.5;568.375;1381.25;0.125;1.5;10005.75;8556;352.25;0.21365;0.9433125000000001;-0.0406415;22778.16625;270795.21124999993;119375.25125;2.680725;443;190.375;1217;33.875;3.875;24.625;749;307.75;1;18;0.93695;-0.040480249999999995;604.87125;1407.14125;571.8925;0.8058749999999999;1565;367.125;14.875;0.0413625;886.375;11.25;2.125;0.25;0.375;576314.0262499999;15375.36375;24470.7375;616160.12875;106743935.5275;0.061850749999999996;24202348.85875;794424.22375;2326789.23375;258576.59625;320755.39125000004;712500509.42875;1716699044.77625;1823442980.3062499
5;1586.375;214.875;1801.25;1473.875;3275.125;5565.75;597.875;6163.625;568.375;1381.125;0.125;1.5;10007.125;8556;350.125;0.213175;0.916225;-0.058962125000000004;21535.94125;271069.36625;133683.3075;2.8936124999999997;434.125;190.125;1229.125;39.125;4.375;19.5;752.5;363.75;1.25;13.125;0.932875;-0.05474887500000001;603.35;1399.36125;576.17375;0.905825;1574.625;366.125;16;0.040299999999999996;895.125;8.75;2.25;0.75;0.375;512286.41750000004;52892.95875;28614.01375;593793.39125;106950762.39625;0.061437375;24358470.14375;792501.3399999999;2004172.8900000001;259455.1675;322635.17125;712298688.33875;1678453943.49625;1785404705.8925002
6;1583.625;214;1797.625;1474.375;3272;5567.25;598.75;6166;568.375;1381.125;0.25;1.5;10006.375;8556;347.25;0.21289999999999998;0.9002125;-0.080091625;21325.63;270845.51;138605.16499999998;3.27975;431.25;189.375;1244.625;37.125;5.75;18.625;758;416.25;1.125;12.75;0.8908874999999999;-0.079761625;602.4050000000001;1393.1587500000003;570.6525000000001;1.2788125;1573.75;363.25;16;0.039325;902.75;8;2.375;0.5;0.5;499142.55375;24783.217500000002;30830.75875;554756.52875;107098665.35;0.061474125;24458973.1325;793545.6074999999;2004411.8675;260429.15374999997;324508.12625;712120042.03375;1643963982.45125;1751062647.8
7;1582.75;212.875;1795.625;1475.75;3271.375;5566.875;599.5;6166.375;568.125;1380.5;0.25;1.5;10005.875;8556;345.75;0.21288749999999998;0.8840874999999999;-0.099835875;19117.0625;269976.17500000005;123323.83000000002;3.1285500000000006;425.875;188.5;1259.75;35.375;6.5;15;762.625;469.75;1.125;9.75;0.89255;-0.09455975;601.9975000000001;1385.4399999999998;533.7975;1.2303125000000001;1574.625;361.625;15.875;0.03856249999999999;907;4.625;1.25;0;0.25;260223.24874999997;0;8512.24125;268735.49124999996;107055302.19500001;0.061444374999999996;24518166.9325;794811.8562500001;1520207.7737500002;260662.96250000002;326387.34750000003;711553475.36875;1611991931.88875;1719047234.0850003
8;1583.25;212;1795.25;1478.875;3274.125;5564.875;601;6165.875;567.625;1380.625;0.25;1.5;10007.625;8556;343.625;0.21302500000000002;0.8879625;-0.10924937500000001;17827.9875;269468.3775;115952.06375;3.1706624999999997;419.25;186.875;1277.875;34.75;7.625;14.125;769.375;516.875;1;8.25;0.8920749999999998;-0.10815350000000001;601.5374999999999;1382.37375;553.8037499999999;1.5306875;1578.875;358.75;15.125;0.037812500000000006;910.875;4.5;2.125;0.25;0.5;297380.26999999996;11981.51875;21462.485;330824.27375;107028065.40375;0.06113325;24577191.7075;796883.5337500001;1328867.915;260979.41499999998;326747.96499999997;710894149.5925;1598817045.05125;1705845110.45875
9;1581.125;210.875;1792;1485.125;3277.125;5560.5;601.375;6161.875;568.625;1380.875;0.375;1.375;10007.625;8556;340.375;0.2133625;0.8605875;-0.122448125;17596.151250000003;268388.21749999997;122678.71874999999;3.3749749999999996;414.625;186.75;1296.5;34.75;8.625;11.375;769.625;542.875;1;6.25;0.8920875;-0.10776075;601.57375;1373.4274999999998;555.59875;1.7910749999999998;1581.25;356.875;16.5;0.037250000000000005;913.5;3.25;1.75;0.125;0.25;191106.79625;7020.65875;11035.11125;209162.56625000003;106881394.7525;0.061263125;24605675.91375;799372.32625;1151377.8562500002;261100.67750000002;327481.60124999995;710325248.96875;1567482638.3575;1674364033.11
